pupil_id,forename,surname,sex,dob,urn,year_group,ethnicity,metadata_json
P001,Alice,Johnson,Female,2012-03-15,100001,Year 7,White British,"{""address"": {""line1"": ""14 Maple Road"", ""city"": ""London"", ""postcode"": ""E1 6AN""}, ""contact"": {""parent_name"": ""Sarah Johnson"", ""phone"": ""07700900001"", ""email"": ""s.johnson@email.com"", ""address"": {""line1"": ""14 Maple Road"", ""city"": ""London"", ""postcode"": ""E1 6AN""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 95.8}"
P002,Bob,Smith,Male,2011-07-22,100001,Year 8,White British,"{""address"": {""line1"": ""7 Cedar Close"", ""city"": ""London"", ""postcode"": ""N1 3PQ""}, ""contact"": {""parent_name"": ""David Smith"", ""phone"": ""07700900002"", ""email"": ""d.smith@email.com"", ""address"": {""line1"": ""7 Cedar Close"", ""city"": ""London"", ""postcode"": ""N1 3PQ""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 86.1}"
P003,Carol,Williams,Female,2012-11-01,100002,Year 7,White British,"{""address"": {""line1"": ""23 Birch Lane"", ""city"": ""Manchester"", ""postcode"": ""M4 1HJ""}, ""contact"": {""parent_name"": ""Jane Williams"", ""phone"": ""07700900003"", ""email"": ""j.williams@email.com"", ""address"": {""line1"": ""23 Birch Lane"", ""city"": ""Manchester"", ""postcode"": ""M4 1HJ""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 97.2}"
P004,Dan,Brown,Male,2010-09-30,100005,Year 9,Mixed,"{""address"": {""line1"": ""31 Park Avenue"", ""city"": ""Bristol"", ""postcode"": ""BS1 5AH""}, ""contact"": {""parent_name"": ""Mike Brown"", ""phone"": ""07700900004"", ""address"": {""line1"": ""31 Park Avenue"", ""city"": ""Bristol"", ""postcode"": ""BS1 5AH""}}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 70.5}"
P005,Eve,Taylor,Female,2013-01-18,100004,Year 6,White British,"{""address"": {""line1"": ""45 Willow Way"", ""city"": ""Leeds"", ""postcode"": ""LS1 4DY""}, ""contact"": {""parent_name"": ""Lisa Taylor"", ""phone"": ""07700900005"", ""email"": ""l.taylor@email.com"", ""address"": {""line1"": ""45 Willow Way"", ""city"": ""Leeds"", ""postcode"": ""LS1 4DY""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 98.7}"
P006,Frank,Davies,Male,2011-05-25,100005,Year 8,White British,"{""address"": {""line1"": ""18 Hawthorn Street"", ""city"": ""Bristol"", ""postcode"": ""BS2 8NJ""}, ""contact"": {""parent_name"": ""Helen Davies"", ""phone"": ""07700900006"", ""address"": {""line1"": ""18 Hawthorn Street"", ""city"": ""Bristol"", ""postcode"": ""BS2 8NJ""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false, ""attendance_pct"": 90.9}"
P007,Grace,Evans,Female,2012-08-12,100006,Year 7,asian,"{""address"": {""line1"": ""6 Rosemary Gardens"", ""city"": ""Sheffield"", ""postcode"": ""S1 2FP""}, ""contact"": {""parent_name"": ""Tom Evans"", ""phone"": ""07700900007"", ""email"": ""t.evans@email.com"", ""address"": {""line1"": ""6 Rosemary Gardens"", ""city"": ""Sheffield"", ""postcode"": ""S1 2FP""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 93.8}"
P008,Harry,Wilson,Male,2010-12-03,100007,Year 9,BLACK AFRICAN,"{""address"": {""line1"": ""52 Lime Avenue"", ""city"": ""Liverpool"", ""postcode"": ""L3 9DA""}, ""contact"": {""parent_name"": ""Claire Wilson"", ""address"": {""line1"": ""52 Lime Avenue"", ""city"": ""Liverpool"", ""postcode"": ""L3 9DA""}}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 66.4}"
P009,Isla,Thomas,Female,2013-04-07,100008,Year 6,White British,"{""address"": {""line1"": ""3 Chestnut Terrace"", ""city"": ""London"", ""postcode"": ""SE1 7RG""}, ""contact"": {""parent_name"": ""Paul Thomas"", ""phone"": ""07700900009"", ""email"": ""p.thomas@email.com"", ""address"": {""line1"": ""3 Chestnut Terrace"", ""city"": ""London"", ""postcode"": ""SE1 7RG""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 94.9}"
P010,Jack,Roberts,Male,2011-10-19,100009,Year 8,White British,"{""address"": {""line1"": ""28 Ash Grove"", ""city"": ""Nottingham"", ""postcode"": ""NG1 5LL""}, ""contact"": {""parent_name"": ""Karen Roberts"", ""phone"": ""07700900010"", ""address"": {""line1"": ""28 Ash Grove"", ""city"": ""Nottingham"", ""postcode"": ""NG1 5LL""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 84.0}"
